-	f/1.8	f/2	f/2.2	f/2.5	f/2.8	f/3.2	f/3.5	f/4	f/4.5	f/5	f/5.6	f/6.3	f/7.1	f/8
3.0'	0.04'	0.04'	0.04'	0.05'	0.06'	0.06'	0.07'	0.08'	0.09'	0.10'	0.11'	0.13'	0.14'	0.16'
3.8'	0.06'	0.07'	0.07'	0.08'	0.09'	0.11'	0.12'	0.13'	0.15'	0.16'	0.18'	0.20'	0.23'	0.25'
4.9'	0.10'	0.11'	0.12'	0.14'	0.15'	0.17'	0.19'	0.21'	0.24'	0.26'	0.29'	0.33'	0.37'	0.41'
6.2'	0.16'	0.18'	0.19'	0.22'	0.25'	0.28'	0.30'	0.35'	0.39'	0.43'	0.47'	0.53'	0.59'	0.65'
7.9'	0.26'	0.29'	0.32'	0.36'	0.40'	0.45'	0.49'	0.56'	0.62'	0.68'	0.76'	0.84'	0.94'	1.04'
10.1'	0.42'	0.46'	0.51'	0.57'	0.64'	0.72'	0.79'	0.89'	0.99'	1.09'	1.20'	1.33'	1.48'	1.63'
12.8'	0.68'	0.75'	0.82'	0.92'	1.02'	1.16'	1.25'	1.41'	1.57'	1.72'	1.90'	2.09'	2.31'	2.55'
16.4'	1.09'	1.20'	1.31'	1.47'	1.63'	1.84'	1.99'	2.23'	2.47'	2.70'	2.97'	3.26'	3.59'	3.93'
20.9'	1.74'	1.91'	2.08'	2.34'	2.58'	2.90'	3.13'	3.50'	3.86'	4.20'	4.59'	5.03'	5.50'	6.00'
26.6'	2.76'	3.03'	3.30'	3.69'	4.06'	4.54'	4.89'	5.44'	5.97'	6.47'	7.04'	7.67'	8.34'	9.04'
33.9'	4.36'	4.78'	5.19'	5.77'	6.33'	7.05'	7.56'	8.38'	9.14'	9.86'	10.67'	11.55'	12.48'	13.43'
43.2'	6.85'	7.48'	8.09'	8.96'	9.79'	10.84'	11.58'	12.75'	13.83'	14.84'	15.96'	17.16'	18.41'	19.68'
55.0'	10.67'	11.60'	12.50'	13.77'	14.98'	16.48'	17.53'	19.16'	20.66'	22.03'	23.54'	25.14'	26.78'	28.42'
70.1'	16.45'	17.82'	19.11'	20.94'	22.64'	24.73'	26.18'	28.41'	30.42'	32.24'	34.22'	36.28'	38.37'	40.43'
89.3'	25.11'	27.05'	28.88'	31.43'	33.78'	36.63'	38.58'	41.52'	44.15'	46.50'	49.02'	51.60'	54.18'	56.69'
113.8'	37.86'	40.57'	43.09'	46.56'	49.70'	53.47'	56.01'	59.81'	63.14'	66.08'	69.19'	72.34'	75.43'	78.40'
145.0'	56.35'	60.01'	63.39'	67.98'	72.09'	76.92'	80.14'	84.89'	88.99'	92.56'	96.29'	100.03'	103.65'	107.08'
184.8'	82.69'	87.53'	91.92'	97.82'	103.02'	109.05'	113.02'	118.78'	123.69'	127.92'	132.28'	136.59'	140.72'	144.60'
235.4'	119.60'	125.79'	131.35'	138.71'	145.10'	152.41'	157.16'	163.97'	169.69'	174.57'	179.54'	184.40'	189.02'	193.31'
300.0'	170.47'	178.16'	184.99'	193.91'	201.55'	210.17'	215.70'	223.56'	230.07'	235.56'	241.11'	246.49'	251.54'	256.20'
