-	f/4	f/4.5	f/5	f/5.6	f/6.3	f/7.1	f/8
3.0'	0.07'	0.07'	0.08'	0.09'	0.10'	0.12'	0.13'
3.8'	0.11'	0.12'	0.14'	0.15'	0.17'	0.19'	0.21'
4.9'	0.18'	0.20'	0.22'	0.24'	0.27'	0.31'	0.34'
6.2'	0.29'	0.32'	0.36'	0.40'	0.44'	0.49'	0.55'
7.9'	0.46'	0.52'	0.57'	0.63'	0.71'	0.79'	0.88'
10.1'	0.74'	0.83'	0.91'	1.01'	1.13'	1.25'	1.39'
12.8'	1.19'	1.32'	1.45'	1.61'	1.78'	1.97'	2.18'
16.4'	1.89'	2.09'	2.30'	2.53'	2.79'	3.08'	3.39'
20.9'	2.98'	3.29'	3.60'	3.95'	4.34'	4.76'	5.21'
26.6'	4.66'	5.13'	5.58'	6.10'	6.67'	7.29'	7.93'
33.9'	7.23'	7.92'	8.58'	9.33'	10.14'	11.01'	11.92'
43.2'	11.10'	12.10'	13.04'	14.09'	15.23'	16.43'	17.66'
55.0'	16.85'	18.26'	19.56'	21.01'	22.56'	24.17'	25.80'
70.1'	25.25'	27.18'	28.96'	30.90'	32.94'	35.04'	37.12'
89.3'	37.33'	39.91'	42.24'	44.77'	47.40'	50.04'	52.65'
113.8'	54.39'	57.74'	60.73'	63.92'	67.19'	70.44'	73.60'
145.0'	78.09'	82.31'	86.03'	89.95'	93.91'	97.79'	101.51'
184.8'	110.49'	115.66'	120.15'	124.83'	129.49'	134.01'	138.28'
235.4'	154.14'	160.29'	165.58'	171.01'	176.37'	181.50'	186.30'
300.0'	212.20'	219.33'	225.39'	231.56'	237.58'	243.29'	248.57'
